team_1,team_2,score,manager_1,manager_2,season,game_week
SE Palmeiras,Internacional,0:3 (0:1),Manager:   Luiz Felipe Scolari,Manager:   Osmar Loss,2011,23
Fluminense RJ,Corinthians SP,1:0 (1:0),Manager:   Abel Braga,Manager:   Tite,2011,23
Ceará SC,Atlético GO,1:1 (1:0),Manager:   Vágner Mancini,Manager:   Gusmão,2011,23
Coritiba FC,Botafogo RJ,5:0 (1:0),Manager:   Marcelo Oliveira,Manager:   Caio Júnior,2011,23
Figueirense,Vasco da Gama,1:1 (1:1),Manager:   Jorginho,Manager:   Ricardo Gomes,2011,23
Flamengo RJ,Atlético Paranaense,1:2 (0:1),Manager:   Vanderlei Luxemburgo,Manager:  ???,2011,23
Grêmio Porto Alegre,São Paulo FC,1:0 (0:0),Manager:   Celso Roth,Manager:   Paulo César Carpegiani,2011,23
Atlético Mineiro,EC Bahia,2:0 (1:0),Manager:   Cuca,Manager:   Joel Santana,2011,23
Atlético GO,Atlético Mineiro,1:0 (0:0),Manager:   Gusmão,Manager:   Cuca,2011,24
Vasco da Gama,Grêmio Porto Alegre,4:0 (2:0),Manager:   Ricardo Gomes,Manager:   Celso Roth,2011,24
São Paulo FC,Ceará SC,4:0 (2:0),Manager:   Paulo César Carpegiani,Manager:  ???,2011,24
EC Bahia,Fluminense RJ,3:0 (1:0),Manager:   Joel Santana,Manager:   Abel Braga,2011,24
Atlético Paranaense,Figueirense,0:0 (0:0),Manager:  ???,Manager:   Jorginho,2011,24
Avaí FC,SE Palmeiras,1:1 (1:1),Manager:   Paulo Silas,Manager:   Luiz Felipe Scolari,2011,24
Botafogo RJ,Flamengo RJ,1:1 (1:0),Manager:   Caio Júnior,Manager:   Vanderlei Luxemburgo,2011,24
Corinthians SP,Santos FC,1:3 (1:1),Manager:   Tite,Manager:   Muricy Ramalho,2011,24
Cruzeiro EC,América MG,0:0 (0:0),Manager:  ???,Manager:   Mauro Fernandes,2011,24
Internacional,Coritiba FC,1:1 (1:0),Manager:   Osmar Loss,Manager:   Marcelo Oliveira,2011,24
Fluminense RJ,Avaí FC,3:1 (2:1),Manager:   Abel Braga,Manager:   Paulo Silas,2011,25
Coritiba FC,Cruzeiro EC,2:1 (1:0),Manager:   Marcelo Oliveira,Manager:  ???,2011,25
América MG,Santos FC,1:2 (0:0),Manager:   Mauro Fernandes,Manager:   Muricy Ramalho,2011,25
EC Bahia,Atlético Paranaense,1:0 (0:0),Manager:   Joel Santana,Manager:  ???,2011,25
São Paulo FC,Corinthians SP,0:0 (0:0),Manager:   Paulo César Carpegiani,Manager:   Tite,2011,25
Atlético Mineiro,Flamengo RJ,1:1 (0:0),Manager:   Cuca,Manager:   Vanderlei Luxemburgo,2011,25
Figueirense,Internacional,1:1 (1:0),Manager:   Jorginho,Manager:   Osmar Loss,2011,25
SE Palmeiras,Ceará SC,1:0 (1:0),Manager:   Luiz Felipe Scolari,Manager:  ???,2011,25
Vasco da Gama,Atlético GO,1:1 (1:1),Manager:   Ricardo Gomes,Manager:   Gusmão,2011,25
Grêmio Porto Alegre,Botafogo RJ,0:1 (0:0),Manager:   Celso Roth,Manager:   Caio Júnior,2011,25
Atlético Paranaense,Fluminense RJ,1:1 (0:0),Manager:  ???,Manager:   Abel Braga,2011,26
Santos FC,Figueirense,2:3 (2:2),Manager:   Muricy Ramalho,Manager:   Jorginho,2011,26
Flamengo RJ,América MG,2:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Mauro Fernandes,2011,26
Corinthians SP,EC Bahia,1:0 (0:0),Manager:   Tite,Manager:   Joel Santana,2011,26
Botafogo RJ,São Paulo FC,2:2 (2:0),Manager:   Caio Júnior,Manager:   Paulo César Carpegiani,2011,26
Internacional,Atlético Mineiro,2:1 (1:0),Manager:   Osmar Loss,Manager:   Cuca,2011,26
Cruzeiro EC,Vasco da Gama,0:3 (0:1),Manager:  ???,Manager:   Ricardo Gomes,2011,26
Avaí FC,Grêmio Porto Alegre,1:2 (0:1),Manager:   Paulo Silas,Manager:   Celso Roth,2011,26
Atlético GO,SE Palmeiras,1:1 (0:1),Manager:   Gusmão,Manager:   Luiz Felipe Scolari,2011,26
Ceará SC,Coritiba FC,3:2 (2:1),Manager:  ???,Manager:   Marcelo Oliveira,2011,26
SE Palmeiras,América MG,1:1 (1:1),Manager:   Luiz Felipe Scolari,Manager:   Mauro Fernandes,2011,27
Fluminense RJ,Santos FC,3:2 (1:1),Manager:   Abel Braga,Manager:   Muricy Ramalho,2011,27
EC Bahia,Avaí FC,3:2 (1:0),Manager:   Joel Santana,Manager:   Paulo Silas,2011,27
São Paulo FC,Flamengo RJ,1:2 (0:0),Manager:   Paulo César Carpegiani,Manager:   Vanderlei Luxemburgo,2011,27
Vasco da Gama,Corinthians SP,2:2 (2:1),Manager:   Ricardo Gomes,Manager:   Tite,2011,27
Atlético Mineiro,Ceará SC,1:1 (1:1),Manager:   Cuca,Manager:  ???,2011,27
Figueirense,Coritiba FC,0:0 (0:0),Manager:   Jorginho,Manager:   Marcelo Oliveira,2011,27
Atlético Paranaense,Internacional,2:0 (0:0),Manager:  ???,Manager:   Osmar Loss,2011,27
Grêmio Porto Alegre,Cruzeiro EC,2:0 (1:0),Manager:   Celso Roth,Manager:   Vágner Mancini,2011,27
Atlético GO,Botafogo RJ,2:0 (2:0),Manager:   Gusmão,Manager:   Caio Júnior,2011,27
Cruzeiro EC,São Paulo FC,3:3 (1:0),Manager:   Vágner Mancini,Manager:   Paulo César Carpegiani,2011,28
