"selection1_team_1","selection1_team_2","selection1_team_2_url","selection1_score","selection1_score_url"
"Colorado Rapids","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-colorado-rapids-columbus-crew/"
"FC Dallas","Real Salt Lake","http://usa.worldfootball.net/teams/real-salt-lake/","2:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-fc-dallas-real-salt-lake/"
"San Jose Earthquakes","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","0:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-san-jose-earthquakes-new-york-rb/"
"Seattle Sounders","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-seattle-sounders-los-angeles-galaxy/"
"New York RB","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:3 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-new-york-rb-san-jose-earthquakes/"
"Columbus Crew","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","4:5 (1:0, 2:1, 2:1) pso","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-columbus-crew-colorado-rapids/"
"Real Salt Lake","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-real-salt-lake-fc-dallas/"
"Los Angeles Galaxy","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","2:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-viertelfinale-los-angeles-galaxy-seattle-sounders/"
"Colorado Rapids","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-halbfinale-colorado-rapids-san-jose-earthquakes/"
"Los Angeles Galaxy","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","0:3 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-halbfinale-los-angeles-galaxy-fc-dallas/"
"Colorado Rapids","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","2:1 (0:1, 1:1) aet","http://usa.worldfootball.net/report/major-league-soccer-2010-playoffs-finale-colorado-rapids-fc-dallas/"
"Seattle Sounders","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","0:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-seattle-sounders-los-angeles-galaxy/"
"Vancouver Whitecaps","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","4:2 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-vancouver-whitecaps-toronto-fc/"
"D.C. United","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","3:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-d-c-united-columbus-crew/"
"New York RB","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","1:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-new-york-rb-seattle-sounders/"
"FC Dallas","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","1:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-fc-dallas-chicago-fire/"
"Houston Dynamo","Philadelphia Union","http://usa.worldfootball.net/teams/philadelphia-union/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-houston-dynamo-philadelphia-union/"
"Colorado Rapids","Portland Timbers","http://usa.worldfootball.net/teams/portland-timbers/","3:1 (3:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-colorado-rapids-portland-timbers/"
"CD Chivas","Sporting Kansas City","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:3 (0:2)","http://usa.worldfootball.net/report/major-league-soccer-2011-cd-chivas-sporting-kansas-city/"
"San Jose Earthquakes","Real Salt Lake","http://usa.worldfootball.net/teams/real-salt-lake/","0:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-san-jose-earthquakes-real-salt-lake/"
"Los Angeles Galaxy","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-los-angeles-galaxy-new-england-revolution/"
"Seattle Sounders","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-seattle-sounders-houston-dynamo/"
"Toronto FC","Portland Timbers","http://usa.worldfootball.net/teams/portland-timbers/","2:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-toronto-fc-portland-timbers/"
"Columbus Crew","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-columbus-crew-new-york-rb/"
"Philadelphia Union","Vancouver Whitecaps","http://usa.worldfootball.net/teams/vancouver-whitecaps/","1:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-philadelphia-union-vancouver-whitecaps/"
"Chicago Fire","Sporting Kansas City","http://usa.worldfootball.net/teams/sporting-kansas-city/","3:2 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-chicago-fire-sporting-kansas-city/"
"New England Revolution","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-new-england-revolution-d-c-united/"
"Real Salt Lake","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","4:1 (3:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-real-salt-lake-los-angeles-galaxy/"
"FC Dallas","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","0:2 (0:2)","http://usa.worldfootball.net/report/major-league-soccer-2011-fc-dallas-san-jose-earthquakes/"
"CD Chivas","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-cd-chivas-colorado-rapids/"
"Columbus Crew","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","2:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-columbus-crew-fc-dallas/"
"Toronto FC","CD Chivas","http://usa.worldfootball.net/teams/cd-chivas/","1:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-toronto-fc-cd-chivas/"
"Vancouver Whitecaps","Sporting Kansas City","http://usa.worldfootball.net/teams/sporting-kansas-city/","3:3 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-vancouver-whitecaps-sporting-kansas-city/"
"New England Revolution","Portland Timbers","http://usa.worldfootball.net/teams/portland-timbers/","1:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-new-england-revolution-portland-timbers/"
"New York RB","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","1:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-new-york-rb-houston-dynamo/"
"Los Angeles Galaxy","Philadelphia Union","http://usa.worldfootball.net/teams/philadelphia-union/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-los-angeles-galaxy-philadelphia-union/"
"San Jose Earthquakes","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","2:2 (1:2)","http://usa.worldfootball.net/report/major-league-soccer-2011-san-jose-earthquakes-seattle-sounders/"
"Colorado Rapids","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","4:1 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-colorado-rapids-d-c-united/"
"Vancouver Whitecaps","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-vancouver-whitecaps-new-england-revolution/"
"FC Dallas","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:0 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-fc-dallas-colorado-rapids/"
"Seattle Sounders","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","2:1 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-seattle-sounders-chicago-fire/"
"Philadelphia Union","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","1:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-philadelphia-union-new-york-rb/"
